# Time-averaged data for fix amsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
0 8.88573e-33 1.05013e-32 9.69352e-33 2.90806e-32
1 4.79194e-06 4.80392e-06 4.79901e-06 1.43949e-05
2 1.91625e-05 1.92104e-05 1.919e-05 5.75628e-05
3 4.30948e-05 4.32028e-05 4.3155e-05 0.000129453
4 7.65604e-05 7.67529e-05 7.66642e-05 0.000229977
5 0.000119519 0.000119821 0.000119676 0.000359016
6 0.000171919 0.000172357 0.000172138 0.000516414
7 0.000233697 0.000234297 0.000233986 0.00070198
8 0.00030478 0.00030557 0.000305144 0.000915494
9 0.000385082 0.000386092 0.000385527 0.0011567
10 0.000474508 0.000475769 0.00047504 0.00142532
11 0.000572954 0.000574497 0.000573577 0.00172103
12 0.000680305 0.000682165 0.000681022 0.00204349
13 0.000796437 0.000798649 0.000797254 0.00239234
14 0.000921219 0.00092382 0.00092214 0.00276718
15 0.00105451 0.00105754 0.00105554 0.00316759
16 0.00119617 0.00119966 0.00119731 0.00359314
17 0.00134603 0.00135003 0.00134729 0.00404336
18 0.00150394 0.0015085 0.00150533 0.00451777
19 0.00166974 0.00167489 0.00167126 0.00501588
20 0.00184325 0.00184903 0.0018449 0.00553718
21 0.0020243 0.00203076 0.00202609 0.00608114
22 0.00221271 0.00221988 0.00221463 0.00664722
23 0.00240829 0.00241622 0.00241036 0.00723487
24 0.00261086 0.00261959 0.00261307 0.00784352
25 0.00282022 0.0028298 0.00282259 0.00847262
26 0.0030362 0.00304666 0.00303872 0.00912158
27 0.00325859 0.00326997 0.00326126 0.00978982
28 0.00348721 0.00349953 0.00349003 0.0104768
29 0.00372185 0.00373516 0.00372483 0.0111818
30 0.00396232 0.00397665 0.00396545 0.0119044
31 0.00420843 0.00422381 0.00421172 0.012644
32 0.00445997 0.00447644 0.00446343 0.0133998
33 0.00471676 0.00473434 0.00472039 0.0141715
34 0.00497861 0.00499733 0.00498241 0.0149583
35 0.00524531 0.00526519 0.0052493 0.0157598
36 0.00551669 0.00553775 0.00552087 0.0165753
37 0.00579254 0.00581482 0.00579693 0.0174043
38 0.0060727 0.0060962 0.0060773 0.0182462
