# Time-averaged data for fix amsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
0 0 0 0 0
1 4.81537e-06 4.79644e-06 4.81271e-06 1.44245e-05
2 1.92436e-05 1.91662e-05 1.92349e-05 5.76447e-05
3 4.32318e-05 4.3054e-05 4.32162e-05 0.000129502
4 7.66922e-05 7.63706e-05 7.66718e-05 0.000229735
5 0.000119503 0.000118993 0.000119483 0.000357979
6 0.000171511 0.000170767 0.000171496 0.000513773
7 0.000232527 0.000231504 0.000232528 0.000696559
8 0.000302335 0.00030099 0.000302362 0.000905687
9 0.000380685 0.000378978 0.000380755 0.00114042
10 0.000467304 0.000465195 0.000467431 0.00139993
11 0.000561888 0.000559344 0.000562092 0.00168332
12 0.000664109 0.000661102 0.000664413 0.00198962
13 0.000773618 0.000770124 0.000774049 0.00231779
14 0.000890044 0.000886048 0.00089063 0.00266672
15 0.001013 0.00100849 0.00101377 0.00303526
16 0.00114207 0.00113705 0.00114307 0.00342219
17 0.00127684 0.00127131 0.00127811 0.00382626
18 0.00141688 0.00141085 0.00141846 0.0042462
19 0.00156175 0.00155524 0.00156368 0.00468067
20 0.00171099 0.00170403 0.00171332 0.00512835
21 0.00186415 0.00185678 0.00186693 0.00558787
22 0.00202078 0.00201303 0.00202406 0.00605787
23 0.00218042 0.00217233 0.00218423 0.00653697
24 0.0023426 0.00233422 0.00234699 0.00702381
25 0.00250688 0.00249826 0.00251189 0.00751703
26 0.0026728 0.00266401 0.00267847 0.00801528
27 0.00283993 0.00283102 0.00284627 0.00851722
28 0.00300782 0.00299886 0.00301487 0.00902155
29 0.00317606 0.0031671 0.00318383 0.00952699
30 0.00334422 0.00333534 0.00335273 0.0100323
31 0.00351191 0.00350317 0.00352115 0.0105362
32 0.00367873 0.00367021 0.00368871 0.0110376
33 0.00384431 0.00383607 0.00385502 0.0115354
34 0.00400828 0.0040004 0.00401972 0.0120284
35 0.00417031 0.00416286 0.00418246 0.0125156
36 0.00433006 0.00432311 0.0043429 0.0129961
37 0.00448723 0.00448084 0.00450073 0.0134688
38 0.00464153 0.00463577 0.00465567 0.013933
39 0.00479269 0.00478762 0.00480742 0.0143877
40 0.00494045 0.00493614 0.00495575 0.0148323
41 0.00508459 0.00508108 0.0051004 0.0152661
42 0.0052249 0.00522224 0.00524118 0.0156883
43 0.00536119 0.00535942 0.00537788 0.0160985
44 0.00549328 0.00549244 0.00551034 0.0164961
45 0.00562103 0.00562115 0.0056384 0.0168806
46 0.00574431 0.00574541 0.00576193 0.0172517
47 0.00586301 0.0058651 0.00588083 0.0176089
48 0.00597704 0.00598013 0.00599499 0.0179522
49 0.00608632 0.00609041 0.00610436 0.0182811
50 0.00619079 0.00619589 0.00620887 0.0185955
51 0.00629043 0.00629651 0.0063085 0.0188954
52 0.00638522 0.00639226 0.00640322 0.0191807
53 0.00647514 0.00648312 0.00649304 0.0194513
54 0.00656022 0.0065691 0.00657798 0.0197073
55 0.00664048 0.00665022 0.00665807 0.0199488
56 0.00671596 0.00672653 0.00673335 0.0201758
57 0.00678673 0.00679806 0.00680388 0.0203887
58 0.00685284 0.00686488 0.00686975 0.0205875
59 0.00691438 0.00692708 0.00693102 0.0207725
60 0.00697145 0.00698473 0.00698781 0.020944
61 0.00702414 0.00703794 0.00704022 0.0211023
62 0.00707256 0.00708682 0.00708835 0.0212477
63 0.00711684 0.00713149 0.00713234 0.0213807
64 0.0071571 0.00717208 0.00717232 0.0215015
65 0.00719348 0.00720872 0.00720841 0.0216106
66 0.00722611 0.00724155 0.00724077 0.0217084
67 0.00725516 0.00727072 0.00726954 0.0217954
68 0.00728076 0.00729638 0.00729487 0.021872
69 0.00730306 0.00731869 0.00731692 0.0219387
70 0.00732224 0.0073378 0.00733584 0.0219959
71 0.00733843 0.00735388 0.00735178 0.0220441
72 0.00735181 0.00736707 0.00736491 0.0220838
73 0.00736252 0.00737755 0.00737538 0.0221155
74 0.00737073 0.00738547 0.00738334 0.0221395
75 0.00737659 0.00739098 0.00738895 0.0221565
76 0.00738025 0.00739425 0.00739236 0.0221669
77 0.00738186 0.00739542 0.00739372 0.022171
78 0.00738157 0.00739465 0.00739317 0.0221694
79 0.00737952 0.00739207 0.00739086 0.0221625
80 0.00737585 0.00738783 0.00738692 0.0221506
81 0.00737068 0.00738207 0.00738149 0.0221342
82 0.00736414 0.00737492 0.00737469 0.0221138
83 0.00735636 0.00736649 0.00736666 0.0220895
84 0.00734744 0.00735692 0.0073575 0.0220619
85 0.0073375 0.00734631 0.00734733 0.0220311
86 0.00732663 0.00733477 0.00733625 0.0219976
87 0.00731493 0.00732239 0.00732436 0.0219617
