# Time-averaged data for fix amsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
0 7.69019e-31 7.75482e-31 8.30412e-31 2.37491e-30
1 4.80142e-06 4.80094e-06 4.79013e-06 1.43925e-05
2 1.92054e-05 1.92033e-05 1.91602e-05 5.75688e-05
3 4.3211e-05 4.32058e-05 4.31092e-05 0.000129526
4 7.68171e-05 7.68071e-05 7.66359e-05 0.00023026
5 0.000120022 0.000120005 0.000119738 0.000359765
6 0.000172823 0.000172797 0.000172415 0.000518034
7 0.000235217 0.00023518 0.000234661 0.000705059
8 0.000307202 0.00030715 0.000306476 0.000920828
9 0.000388774 0.000388704 0.000387854 0.00116533
10 0.000479928 0.000479837 0.000478792 0.00143856
11 0.000580661 0.000580543 0.000579286 0.00174049
12 0.000690966 0.000690819 0.00068933 0.00207111
13 0.000810839 0.000810658 0.000808919 0.00243042
14 0.000940274 0.000940053 0.000938047 0.00281837
15 0.00107926 0.001079 0.00107671 0.00323497
16 0.0012278 0.00122749 0.0012249 0.00368019
17 0.00138589 0.00138551 0.0013826 0.00415401
18 0.0015535 0.00155307 0.00154982 0.0046564
19 0.00173065 0.00173015 0.00172655 0.00518735
20 0.00191732 0.00191673 0.00191277 0.00574682
21 0.00211349 0.00211283 0.00210848 0.0063348
22 0.00231917 0.00231842 0.00231367 0.00695126
23 0.00253435 0.00253349 0.00252834 0.00759618
24 0.00275901 0.00275805 0.00275246 0.00826952
25 0.00299314 0.00299207 0.00298604 0.00897125
26 0.00323674 0.00323555 0.00322906 0.00970136
27 0.0034898 0.00348848 0.00348151 0.0104598
28 0.00375231 0.00375085 0.00374339 0.0112466
29 0.00402425 0.00402265 0.00401467 0.0120616
30 0.00430563 0.00430387 0.00429536 0.0129049
31 0.00459641 0.0045945 0.00458544 0.0137764
32 0.00489661 0.00489452 0.0048849 0.014676
33 0.0052062 0.00520393 0.00519373 0.0156039
34 0.00552517 0.00552272 0.00551192 0.0165598
35 0.00585352 0.00585088 0.00583946 0.0175439
36 0.00619124 0.00618838 0.00617633 0.0185559
37 0.00653831 0.00653523 0.00652252 0.0195961
38 0.00689472 0.00689142 0.00687803 0.0206642
39 0.00726046 0.00725692 0.00724284 0.0217602
40 0.00763553 0.00763174 0.00761694 0.0228842
41 0.0080199 0.00801585 0.00800032 0.0240361
42 0.00841357 0.00840926 0.00839296 0.0252158
43 0.00881653 0.00881194 0.00879486 0.0264233
44 0.00922877 0.00922389 0.009206 0.0276587
45 0.00965027 0.0096451 0.00962638 0.0289218
46 0.010081 0.0100756 0.010056 0.0302126
47 0.010521 0.0105152 0.0104948 0.0315311
48 0.0109703 0.0109642 0.0109428 0.0328772
49 0.0114287 0.0114223 0.0114 0.034251
50 0.0118964 0.0118896 0.0118664 0.0356524
51 0.0123733 0.0123661 0.0123419 0.0370813
52 0.0128593 0.0128518 0.0128266 0.0385377
53 0.0133546 0.0133467 0.0133204 0.0400217
54 0.013859 0.0138507 0.0138234 0.0415331
55 0.0143725 0.0143639 0.0143355 0.0430719
56 0.0148952 0.0148863 0.0148567 0.0446381
57 0.0154271 0.0154177 0.015387 0.0462317
58 0.015968 0.0159583 0.0159263 0.0478527
59 0.0165181 0.016508 0.0164748 0.0495009
60 0.0170773 0.0170668 0.0170323 0.0511764
