# Time-averaged data for fix avacf
# TimeStep c_vacf[1] c_vacf[2] c_vacf[3] c_vacf[4]
0 1.19758 1.20058 1.19939 3.59754
1 1.19688 1.19987 1.19864 3.59539
2 1.19471 1.1977 1.19642 3.58883
3 1.19108 1.19407 1.19272 3.57787
4 1.186 1.18901 1.18758 3.56258
5 1.1795 1.18252 1.18101 3.54302
6 1.17161 1.17464 1.17304 3.51929
7 1.16236 1.16541 1.1637 3.49148
8 1.1518 1.15487 1.15305 3.45972
9 1.13996 1.14305 1.14112 3.42414
10 1.12691 1.13002 1.12797 3.3849
11 1.11268 1.11582 1.11365 3.34216
12 1.09735 1.10051 1.09822 3.29609
13 1.08098 1.08416 1.08175 3.24688
14 1.06361 1.06681 1.06428 3.19471
15 1.04533 1.04855 1.0459 3.13978
16 1.02619 1.02943 1.02666 3.08228
17 1.00626 1.00951 1.00664 3.02242
18 0.985616 0.988877 0.985896 2.96039
19 0.964316 0.967584 0.964498 2.8964
20 0.94243 0.9457 0.942513 2.83064
21 0.920022 0.923291 0.920006 2.76332
22 0.897159 0.900422 0.897042 2.69462
23 0.873902 0.877157 0.873684 2.62474
24 0.850315 0.853556 0.849994 2.55386
25 0.826456 0.82968 0.826032 2.48217
26 0.802385 0.805588 0.801857 2.40983
27 0.778156 0.781336 0.777527 2.33702
28 0.753823 0.756978 0.753094 2.26389
29 0.729439 0.732565 0.728612 2.19062
30 0.705051 0.708148 0.704131 2.11733
31 0.680708 0.683773 0.679699 2.04418
32 0.656453 0.659485 0.65536 1.9713
33 0.632329 0.635328 0.631158 1.89882
34 0.608377 0.61134 0.607134 1.82685
35 0.584634 0.587559 0.583325 1.75552
36 0.561135 0.564021 0.559767 1.68492
37 0.537915 0.540758 0.536493 1.61517
38 0.515004 0.517802 0.513535 1.54634
39 0.492432 0.495182 0.49092 1.47853
40 0.470225 0.472922 0.468676 1.41182
41 0.448407 0.451049 0.446825 1.34628
42 0.427001 0.429583 0.42539 1.28197
43 0.406026 0.408545 0.404392 1.21896
44 0.3855 0.387953 0.383846 1.1573
45 0.36544 0.367823 0.36377 1.09703
46 0.345858 0.348169 0.344177 1.0382
47 0.326767 0.329003 0.325078 0.980848
48 0.308178 0.310335 0.306485 0.924998
49 0.290099 0.292176 0.288406 0.87068
50 0.272537 0.274532 0.270847 0.817915
51 0.255498 0.257408 0.253815 0.766721
52 0.238986 0.24081 0.237313 0.71711
53 0.223004 0.224741 0.221345 0.66909
54 0.207554 0.209202 0.205911 0.622667
55 0.192636 0.194193 0.191012 0.577841
56 0.178248 0.179715 0.176646 0.53461
57 0.164389 0.165766 0.162813 0.492967
58 0.151055 0.152342 0.149507 0.452904
59 0.138242 0.139441 0.136726 0.414409
60 0.125945 0.127058 0.124463 0.377467
61 0.114157 0.115188 0.112715 0.34206
62 0.102874 0.103825 0.101473 0.308171
63 0.0920867 0.0929615 0.0907302 0.275778
64 0.0817884 0.0825906 0.0804798 0.244859
65 0.071971 0.0727043 0.0707128 0.215388
66 0.0626258 0.0632942 0.0614207 0.187341
67 0.053744 0.0543515 0.0525942 0.16069
68 0.0453164 0.045867 0.0442236 0.135407
69 0.0373334 0.037831 0.036299 0.111463
70 0.0297851 0.0302337 0.0288102 0.088829
71 0.0226614 0.0230646 0.0217467 0.0674727
72 0.0159518 0.0163131 0.0150977 0.0473626
73 0.00964551 0.00996808 0.0088523 0.0284659
74 0.00373141 0.00401832 0.00299926 0.010749
75 -0.00180183 -0.00154786 -0.00247263 -0.00582233
76 -0.00696585 -0.00674232 -0.00757477 -0.0212829
77 -0.0117725 -0.0115771 -0.0123186 -0.0356682
78 -0.0162337 -0.0160644 -0.0167156 -0.0490137
79 -0.0203618 -0.0202163 -0.0207773 -0.0613554
80 -0.0241688 -0.0240452 -0.0245152 -0.0727292
81 -0.027667 -0.0275632 -0.0279409 -0.083171
82 -0.0308685 -0.0307823 -0.0310659 -0.0927166
83 -0.0337853 -0.0337144 -0.0339017 -0.101401
84 -0.0364293 -0.0363714 -0.03646 -0.109261
85 -0.0388122 -0.0387646 -0.0387522 -0.116329
86 -0.0409454 -0.0409055 -0.0407898 -0.122641
87 -0.04284 -0.0428051 -0.0425843 -0.128229
88 -0.044507 -0.0444743 -0.0441471 -0.133128
89 -0.0459571 -0.0459238 -0.0454896 -0.137371
90 -0.0472006 -0.047164 -0.046623 -0.140988
91 -0.0482478 -0.0482052 -0.0475585 -0.144011
92 -0.0491086 -0.0490575 -0.0483069 -0.146473
93 -0.0497927 -0.0497307 -0.0488792 -0.148403
94 -0.0503096 -0.0502345 -0.049286 -0.14983
95 -0.0506687 -0.0505785 -0.0495378 -0.150785
96 -0.0508788 -0.0507719 -0.0496448 -0.151296
97 -0.050949 -0.0508239 -0.049617 -0.15139
98 -0.0508879 -0.0507432 -0.0494643 -0.151095
99 -0.0507039 -0.0505387 -0.0491961 -0.150439
100 -0.0504055 -0.0502189 -0.0488218 -0.149446
101 -0.0500008 -0.0497921 -0.0483502 -0.148143
102 -0.0494978 -0.0492667 -0.0477902 -0.146555
103 -0.0489044 -0.0486508 -0.0471499 -0.144705
104 -0.0482284 -0.0479523 -0.0464373 -0.142618
105 -0.047477 -0.0471792 -0.0456598 -0.140316
106 -0.0466576 -0.0463389 -0.0448245 -0.137821
107 -0.045777 -0.0454388 -0.0439379 -0.135154
108 -0.044842 -0.0444859 -0.0430062 -0.132334
109 -0.0438586 -0.0434869 -0.0420351 -0.129381
