# Time-averaged data for fix avacf
# TimeStep c_vacf[1] c_vacf[2] c_vacf[3] c_vacf[4]
0 1.20278 1.19816 1.20199 3.60292
1 1.20058 1.19586 1.19992 3.59635
2 1.19405 1.18923 1.19351 3.57679
3 1.18323 1.17832 1.18281 3.54437
4 1.16819 1.16321 1.16789 3.49929
5 1.14902 1.14399 1.14885 3.44186
6 1.12586 1.12077 1.1258 3.37243
7 1.09883 1.09372 1.0989 3.29146
8 1.06813 1.063 1.06831 3.19944
9 1.03392 1.0288 1.03423 3.09695
10 0.996423 0.991329 0.996854 2.98461
11 0.955856 0.950805 0.956414 2.86307
12 0.912453 0.907466 0.913143 2.73306
13 0.866462 0.86156 0.86729 2.59531
14 0.818138 0.813342 0.819111 2.45059
15 0.767744 0.763075 0.768871 2.29969
16 0.715545 0.711027 0.716837 2.14341
17 0.661813 0.657466 0.663279 1.98256
18 0.606818 0.602663 0.608468 1.81795
19 0.55083 0.546888 0.552673 1.65039
20 0.494117 0.490406 0.49616 1.48068
21 0.436942 0.43348 0.439189 1.30961
22 0.379562 0.376366 0.382018 1.13794
23 0.322228 0.319312 0.324892 0.966432
24 0.265181 0.26256 0.268053 0.795795
25 0.208655 0.206341 0.21173 0.626726
26 0.152871 0.150874 0.156144 0.45989
27 0.0980405 0.09637 0.101504 0.295915
28 0.0443617 0.0430248 0.048007 0.135394
29 -0.00797881 -0.00897681 -0.00416167 -0.0211173
30 -0.058808 -0.0594636 -0.0548296 -0.173101
31 -0.107966 -0.108278 -0.103837 -0.320081
32 -0.155307 -0.155274 -0.151039 -0.46162
33 -0.200697 -0.200323 -0.196302 -0.597323
34 -0.244019 -0.243308 -0.239508 -0.726835
35 -0.285167 -0.284124 -0.280552 -0.849843
36 -0.324049 -0.322681 -0.319343 -0.966074
37 -0.360588 -0.358905 -0.355802 -1.07529
38 -0.394718 -0.392731 -0.389866 -1.17731
39 -0.426387 -0.424109 -0.421483 -1.27198
40 -0.455558 -0.453002 -0.450613 -1.35917
41 -0.482203 -0.479384 -0.477232 -1.43882
42 -0.506309 -0.503244 -0.501325 -1.51088
43 -0.527873 -0.524579 -0.52289 -1.57534
44 -0.546906 -0.5434 -0.541935 -1.63224
45 -0.563427 -0.559727 -0.558481 -1.68163
46 -0.577468 -0.573591 -0.572557 -1.72362
47 -0.589069 -0.585034 -0.584204 -1.75831
48 -0.598281 -0.594105 -0.593471 -1.78586
49 -0.605163 -0.600862 -0.600415 -1.80644
50 -0.609781 -0.605371 -0.605103 -1.82026
51 -0.612209 -0.607706 -0.607608 -1.82752
52 -0.612529 -0.607947 -0.608009 -1.82849
53 -0.610826 -0.60618 -0.606395 -1.8234
54 -0.607195 -0.602497 -0.602857 -1.81255
55 -0.601732 -0.596994 -0.597493 -1.79622
56 -0.594538 -0.589773 -0.590405 -1.77472
57 -0.58572 -0.580938 -0.581698 -1.74836
58 -0.575386 -0.570597 -0.571482 -1.71746
59 -0.563647 -0.55886 -0.559868 -1.68237
60 -0.550615 -0.545841 -0.546968 -1.64342
61 -0.536407 -0.531653 -0.532899 -1.60096
62 -0.521136 -0.516411 -0.517774 -1.55532
63 -0.504919 -0.500231 -0.50171 -1.50686
64 -0.487871 -0.483229 -0.484821 -1.45592
65 -0.470108 -0.465519 -0.467221 -1.40285
66 -0.451741 -0.447215 -0.449023 -1.34798
67 -0.432883 -0.428428 -0.430338 -1.29165
68 -0.413643 -0.409269 -0.411272 -1.23418
69 -0.394127 -0.389845 -0.391932 -1.1759
70 -0.374439 -0.370259 -0.372419 -1.11712
71 -0.354678 -0.350611 -0.352834 -1.05812
72 -0.33494 -0.330999 -0.33327 -0.999209
73 -0.315316 -0.311514 -0.313819 -0.94065
74 -0.295893 -0.292244 -0.294567 -0.882705
75 -0.276753 -0.273271 -0.275597 -0.82562
76 -0.257971 -0.254671 -0.256985 -0.769626
