# Time-averaged data for fix avacf
# TimeStep c_vacf[1] c_vacf[2] c_vacf[3] c_vacf[4]
0 1.20034 1.20023 1.19753 3.5981
1 1.20031 1.20019 1.19749 3.59798
2 1.20021 1.20008 1.19739 3.59767
3 1.20005 1.19991 1.19722 3.59718
4 1.19983 1.19968 1.197 3.59651
5 1.19954 1.19939 1.19672 3.59565
6 1.1992 1.19904 1.19638 3.59461
7 1.1988 1.19863 1.19597 3.5934
8 1.19834 1.19816 1.19552 3.59202
9 1.19783 1.19764 1.195 3.59046
10 1.19726 1.19706 1.19443 3.58875
11 1.19663 1.19643 1.19381 3.58687
12 1.19596 1.19575 1.19314 3.58485
13 1.19524 1.19502 1.19242 3.58267
14 1.19447 1.19424 1.19165 3.58035
15 1.19365 1.19342 1.19083 3.5779
16 1.19279 1.19255 1.18998 3.57532
17 1.19189 1.19164 1.18908 3.57261
18 1.19096 1.19069 1.18814 3.56979
19 1.18998 1.18971 1.18716 3.56685
20 1.18897 1.18869 1.18615 3.56381
21 1.18792 1.18764 1.18511 3.56067
22 1.18685 1.18656 1.18403 3.55744
23 1.18574 1.18545 1.18293 3.55411
24 1.18461 1.18431 1.18179 3.55071
25 1.18345 1.18314 1.18063 3.54722
26 1.18226 1.18195 1.17945 3.54366
27 1.18106 1.18074 1.17824 3.54004
28 1.17983 1.17951 1.17701 3.53635
29 1.17858 1.17826 1.17576 3.53261
30 1.17732 1.177 1.17449 3.52881
31 1.17604 1.17572 1.17321 3.52496
32 1.17475 1.17442 1.17191 3.52107
33 1.17344 1.17311 1.1706 3.51714
34 1.17212 1.17179 1.16927 3.51318
35 1.17079 1.17045 1.16793 3.50918
36 1.16946 1.16911 1.16658 3.50516
37 1.16811 1.16776 1.16523 3.5011
38 1.16676 1.16641 1.16386 3.49703
39 1.16541 1.16504 1.16249 3.49294
40 1.16405 1.16368 1.16111 3.48884
41 1.16268 1.16231 1.15973 3.48472
42 1.16132 1.16093 1.15835 3.4806
43 1.15995 1.15956 1.15696 3.47647
44 1.15858 1.15818 1.15557 3.47233
45 1.15721 1.1568 1.15418 3.46819
46 1.15584 1.15543 1.15279 3.46406
47 1.15447 1.15406 1.1514 3.45993
48 1.1531 1.15268 1.15001 3.4558
